id_caso,anio,mes,dia,codigo_dane_de_municipio,municipio,departamento,region,modalidad,presunto_responsable,descripcion_presunto_responsable,abandono_o_despojo_forzado_de_tierras,amenaza_o_intimidacion,ataque_contra_mision_medica,confinamiento_o_restriccion_a_la_movilidad,desplazamiento_forzado,extorsion,lesionados_civiles,pillaje,tortura,total_victimas_caso,forma_vinculacion,tipo_vinculacion,latitud_longitud,anio_valido,mes_valido,dia_valido,decada,latitud,longitud,alto_impacto,total_hechos
314.998,2.002,6,26,05652,SAN FRANCISCO,ANTIOQUIA,ORIENTE ANTIOQUEÑO,COACCIÓN,GUERRILLA,ELN,0,1,0,0,1,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.98176334 5.840093731),2002,6,26,2000-2009,5.840093731,-74.98176334,1,2
315.003,2.003,5,6,05652,SAN FRANCISCO,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.98176334 5.840093731),2003,5,6,2000-2009,5.840093731,-74.98176334,1,0
315.114,2.005,12,8,05604,REMEDIOS,ANTIOQUIA,NORDESTE ANTIOQUEÑO,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,6,COLECTIVO,RECLUTAMIENTO,POINT (-74.55865652 6.997267375),2005,12,8,2000-2009,6.997267375,-74.55865652,1,0
315.198,2.002,3,19,05579,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.5287421 6.481922267),2002,3,19,2000-2009,6.481922267,-74.5287421,1,0
315.208,2.005,12,8,05579,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.5287421 6.481922267),2005,12,8,2000-2009,6.481922267,-74.5287421,1,0
315.27,2.011,0,0,05495,NECHI,ANTIOQUIA,LA MOJANA,DESCONOCIDA,GRUPO POSDESMOVILIZACIÓN,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0,0,0,0,0,0,0,0,0,3,MÚLTIPLE,RECLUTAMIENTO,POINT (-74.65844186 7.983477394),2011,,,2010-2019,7.983477394,-74.65844186,1,0
315.398,1.998,1,1,05480,MUTATA,ANTIOQUIA,URABA,DESCONOCIDA,GUERRILLA,NO IDENTIFICADA,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-76.46306569 7.329557848),1998,1,1,1990-1999,7.329557848,-76.46306569,1,0
315.502,2.003,10,14,05361,ITUANGO,ANTIOQUIA,NORTE DE ANTIOQUIA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.67842277 7.341549718),2003,10,14,2000-2009,7.341549718,-75.67842277,1,0
315.507,2.004,4,27,05361,ITUANGO,ANTIOQUIA,NORTE DE ANTIOQUIA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.67842277 7.341549718),2004,4,27,2000-2009,7.341549718,-75.67842277,1,0
315.509,2.004,6,23,05361,ITUANGO,ANTIOQUIA,NORTE DE ANTIOQUIA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.67842277 7.341549718),2004,6,23,2000-2009,7.341549718,-75.67842277,1,0
315.642,1.997,11,30,05313,GRANADA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,COACCIÓN,GUERRILLA,NO IDENTIFICADA,0,1,0,0,0,0,0,0,0,4,COLECTIVO,RECLUTAMIENTO,POINT (-75.12763646 6.123380721),1997,11,30,1990-1999,6.123380721,-75.12763646,1,1
315.72,0.0,0,0,05250,EL BAGRE,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-74.66427726 7.704633351),,,,SIN INFORMACION,7.704633351,-74.66427726,1,0
315.726,2.003,6,11,05250,EL BAGRE,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,3,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.66427726 7.704633351),2003,6,11,2000-2009,7.704633351,-74.66427726,1,0
315.743,2.006,9,26,05250,EL BAGRE,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-74.66427726 7.704633351),2006,9,26,2000-2009,7.704633351,-74.66427726,1,0
